equipment,exercise_id,name,link
Body Weight,bodyweight-calf-raise,"Bodyweight Calf Raise Lower Legs / Body Weight Steps : 1.) Start by setting up either a step or a block next to either a support structure or smith machine. 2.) Place the balls of your feet on the edge of the block/step and let your heels drop down towards the floor as far as possible. 3.) Then slowly raise your heels up as high as possible, squeezing your calves and hold for a count. 4.) Return back to the starting position. 5.) Repeat for as many reps and sets as desired.",https://www.jefit.com/exercises/1227/bodyweight-calf-raise
Body Weight,mountain-climber,"Mountain Climber Abs / Body Weight The mountain climber is a dynamic bodyweight exercise that targets the core, legs, chest, shoulders and triceps. About 60-70 percent of the muscle activation comes from core stabilization while 30-40 percent comes from the legs, primarily the hip flexors and quads. It's often used in cardio workouts or as part of a high-intensity interval training (HIIT) routine. Start in a High Plank Position Place your hands directly under your shoulders, arms fully extended. Keep your body in a straight line from head to heels. Engage your core and avoid letting your hips sag or rise too high. Position Your Feet Keep your toes on the floor, legs extended straight behind you, similar to the starting position of a push-up. Drive One Knee Toward Your Chest Lift your right foot off the floor and drive your right knee toward your chest. Keep your core tight and avoid letting your back arch. As you bring your right leg back to the starting position, quickly drive your left knee toward your chest. Alternate legs as if you're ""climbing,"" keeping a steady pace. The movement should be quick and controlled, but always maintain good form. Avoid rounding your shoulders or sagging your hips.",https://www.jefit.com/exercises/484/mountain-climber
Body Weight,alternating-heel-touch,"Alternating Heel Touch Abs / Body Weight The Alternating Heel Touch, also known as the ""heel touchers"" or ""side-to-side heel touches,"" is an effective exercise for targeting the oblique muscles and the entire core. Here’s how to perform this exercise correctly: Starting Position: Lie flat on your back on a mat. Bend your knees and place your feet flat on the floor, about hip-width apart. Your feet should be close enough to your body that you can comfortably reach your heels with your hands. Extend your arms down by your sides, palms facing inward. Engage your core by pulling your belly button towards your spine. Performing the Exercise Lift Your Shoulders: Lift your head and shoulders slightly off the ground. This is your starting position. Reach for Your Heel: Bend to the right, reaching your right hand towards your right heel. Focus on using your obliques to perform the movement. Exhale as you reach towards your heel. Return to Center: Return to the starting position, keeping your shoulders off the ground, maintaining tension in your core. Alternate Sides: Bend to the left, reaching your left hand towards your left heel. Again, focus on using your obliques to perform the movement. Exhale as you reach towards your heel. Continue Alternating: Continue to alternate sides in a smooth, controlled manner. Aim to reach your heels without straining your neck or lower back. Your abs and obliques should be doing the work.",https://www.jefit.com/exercises/58/alternating-heel-touch
Body Weight,bridge,Bridge Glutes / Body Weight The bridge exercise is a great exercise to help build and maintain core strength Steps : 1.) Start by lying on your back with your knees bent and your feet flat on the floor. 2.) Lift up your hips off the floor as you draw your abs in and keep your glutes tight. 3.) Hold the position for a count then return back to the start. 4.) Repeat for as many sets as desired.,https://www.jefit.com/exercises/194/bridge
Body Weight,glute-kickback-,Glute Kickback Glutes / Body Weight Steps : 1.) To begin this exercise; start off with your knees on the floor in a kneeling push-up position. 2.) Raise your right leg until your hamstrings are parallel with your back maintaining the 90-degree level squeezing your glutes throughout the movement. 3.) Hold this position for a few seconds and return back to the starting position followed by alternating the exercises with the other leg. 4.) Repeat this exercise for as many repetitions as needed.,https://www.jefit.com/exercises/387/glute-kickback-
Body Weight,oblique-crunch,"Oblique Crunch Abs / Body Weight The Oblique Crunch is an effective exercise that targets the oblique muscles, which are located on the sides of your abdomen. These muscles are important for rotational movements and overall core stability. Here’s how to perform the movement correctly: Starting Position: Lie on your back on an exercise mat. Bend your knees resting one on top of each other. Place your hands lightly behind your head, elbows flared out to the sides. Do not pull on your neck. Engage your core by pulling your belly button towards your spine. Execution: Tighten your core muscles to prepare for the movement. Lift your right and left shoulder off the mat and laterally flex your torso raising your shoulders off the floor. Exhale as you crunch up and twist. Top Position: At the peak of the movement, your right and left shoulder be off the ground, and your oblique muscles fully engaged. Hold this position briefly, ensuring a strong contraction in the obliques. Returning to Start: Slowly lower your shoulder back to the starting position in a controlled manner. Inhale as you return to the starting position.",https://www.jefit.com/exercises/64/oblique-crunch
Body Weight,bodyweight-lunge,"Bodyweight Lunge Upper Legs / Body Weight Steps : 1.) Start by standing up straight with your knees slightly bent then get into a lunge position, and squat down through your hips. 2.) Squat down so that your front leg is parallel with the floor and hold for a count. 3.) Return back to the starting position. 4.) Repeat for as many reps and sets as desired.",https://www.jefit.com/exercises/1215/bodyweight-lunge
Body Weight,bird-dog-,"Bird Dog Abs / Body Weight Steps : 1.) Start by kneeling on all fours with your knees underneath your hips and your wrists under your shoulders. 2.) When in position, extend your right arm away from your body keeping in line with your shoulder and head while you extend your left leg away from your body at the same time. 3.) Hold onto this position for a few seconds then return back to the starting position and repeat but with your left arm and right leg. 4.) Repeat for as many reps and sets as desired.",https://www.jefit.com/exercises/666/bird-dog-
Bands,band-cross-over,"Band Cross-Over Chest / Bands The exercise band cross-over, often referred to as the resistance band crossover, is a great exercise for targeting the chest muscles. Here's a step-by-step guide on how to perform it: Setup: Attach the resistance bands to a sturdy anchor point at chest height. Ensure the bands are securely fastened to prevent any accidents. Starting Position: Stand facing away from the anchor point with a handle in each hand. Step forward to create tension in the bands. Your arms should be outstretched to the sides with a slight bend in your elbows. This is your starting position. Body Position: Position your feet shoulder-width apart. You can place one foot slightly forward for better balance. Engage your core muscles to keep your body stable and maintain a straight posture. The Movement: Exhale as you bring the handles together in front of you in a hugging motion, keeping a slight bend in your elbows. Your hands should meet in front of your chest, with palms facing each other or slightly downward. Hold the position for a brief moment, squeezing your chest muscles. Return to Start: Inhale as you slowly return your arms to the starting position, maintaining control and tension in the bands throughout the movement.",https://www.jefit.com/exercises/1/band-cross-over
Bands,band-reverse-fly,"Band Reverse Fly Shoulders / Bands A Band Reverse Fly is an excellent exercise for targeting the posterior deltoids, rhomboids, and upper back muscles. It's particularly useful because it can be done almost anywhere with minimal equipment. Here's how to perform the exercise correctly: Set Up: Secure the resistance band to a stable anchor point at about chest height. This could be a door, a sturdy pole, or any fixed object. If you don’t have an anchor point, you can hold the band with your hands. Position Yourself: Stand facing the anchor point with your feet shoulder-width apart. Hold one end of the band in each hand. If the band isn't anchored, hold the middle of the band in each hand with some tension. Starting Position: Step back to create tension in the band when your arms are extended in front of you at shoulder height. Keep a slight bend in your knees and hinge slightly forward at the hips. Engage your core to maintain a stable position. Your arms should be extended straight in front of you, with your palms facing each other or slightly downward. Execution: With a slight bend in your elbows, pull the band apart by moving your arms out to the sides. Focus on squeezing your shoulder blades together. Keep your movements controlled and focus on using your upper back and shoulder muscles to move the band. Ending the Movement: Continue pulling until your arms are out to the sides and in line with your shoulders, forming a ""T"" shape with your body. Hold for a brief moment to maximize the contraction. Return to Starting Position: Slowly return your arms to the starting position in a controlled manner, maintaining tension in the band throughout the movement.",https://www.jefit.com/exercises/53/band-reverse-fly
Bands,band-lateral-raise,"Band Lateral Raise Shoulders / Bands Steps : 1.) To begin this exercise; stand on a band so that it is evenly distributed to be pulled by each arm. 2.) Grab the handles and keep you arms down and rested at your side. 3.) Then using your shoulders, raise the hands above your sides so that they are at shoulder level then lower the handles back down to the starting position. 4.) Repeat this exercise for as many repetitions as needed.",https://www.jefit.com/exercises/422/band-lateral-raise
Bands,band-alternating-bicep-curl-,"Band Alternating Bicep Curl Biceps / Bands The alternating biceps curl with band exercise will use either an exercise band or bungee for resistance to help strengthen the bicep muscle. Steps : 1.) Start by placing an exercise band under your feet and hold the handles palms forward in your hands. 2.) Stand with your feet shoulder-width apart, knees slightly bent and your abs drawn in. 3.) Curl your arms up and down in an alternating motion, keeping your body straight, and isolating the bicep muscle. 4.) As you become comfortable with the motion, increase your speed. 5.) Repeat for as many reps and sets as desired.",https://www.jefit.com/exercises/283/band-alternating-bicep-curl-
Bands,band-shoulder-press,"Band Shoulder Press Shoulders / Bands Steps : 1.) To begin this exercise; stand on an exercise band so that it is evenly distributed to be pulled by each arm. 2.) Grab the handles and press your arms up so that they are at shoulder level. 3.) Then using your shoulders, raise the hands above your sides so that they are above your head then lower the handles back down to the starting position. 4.) Repeat this exercise for as many repetitions as needed.",https://www.jefit.com/exercises/445/band-shoulder-press
Bands,band-squat,"Band Squat Upper Legs / Bands The band squat exercise is the version of the squat that uses exercise bands to increase resistance and flexibility instead of using weights. Steps : 1.) Start off standing with your feet on the exercise bands with your feet shoulder width apart. 2.) Grab onto the handles of the bands and pull them up to your shoulders in a slow and controlled motion. 3.) With your abs drawn in, squat down until your thighs are parallel with the floor. 4.) Slowly return to the starting position. 5.) Repeat for as many reps and sets as desired.",https://www.jefit.com/exercises/215/band-squat
Bands,band-hip-lift,Band Hip Lift Glutes / Bands Steps : 1.) To begin this exercise; take a band and secure it underneath two dumbbells so that they wont move. 2.) Move your body so that your hips are right under the bands and set up for a basic sit up position with your knees up and feet firm on the floor. 3.) Keep your hands extended behind your head. 4.) Push your shoulders to the floor as you raise your hips and extend the band as high as possible. 5.) Hold onto the position for a few seconds and return to the start. 6.) Repeat this exercise for as many repetitions as needed.,https://www.jefit.com/exercises/388/band-hip-lift
Bands,band-upright-row,Band Upright Row Shoulders / Bands The band upright row exercise is a great alternative to the upright row that uses dumbbells or barbells and is great for beginners or individuals just rehabilitating from injury as the bands allow you to control the resistance level. Steps : 1.) Stand on the band so that the handles are level with your upper thigh. 2.) With your back straight and abs drawn in raise your hands upward to your collarbone. 3.) Your elbows and arms should be parallel with the floor. 4.) Slowly lower your arms and return to starting position. 5.) Repeat for as many reps and sets as desired.,https://www.jefit.com/exercises/185/band-upright-row
Bands,band-good-morning,"Band Good Morning Upper Legs / Bands Steps : 1.) To begin this exercise; start off standing on a band, wrapping it around your neck and making sure that it is evenly distributed for stretching in each arm. 2.) Bend at the knees and extend down with your hips then straighten out your legs and come to a vertical position. 3.) Repeat this exercise for as many repetitions as needed",https://www.jefit.com/exercises/466/band-good-morning
Bands,band-upright-row,"Band Upright Row Back / Bands The exercise band row is a compound bilateral exercise that works various aspects of the back and shoulder. Steps: 1.) Begin by standing tall with your feet hip-width apart, knees soft and core engaged. 2.) Using both hands, pull the band handles in towards your outer chest, pause for a 1-2 count. 3.) Slowly return to where arms are fully extended and repeat for desired repetitions.",https://www.jefit.com/exercises/1337/band-upright-row
Bands,posterior-tibialis-stretch,"Posterior Tibialis Stretch Lower Legs / Bands Steps : 1.) Start in a seated position and take either a belt, rope or band and loop it around one of your feet. 2.) Extend both legs out in front of you, then take the belt that is wrapped around the foot and pull it until your foot becomes everted. 3.) You will want the outside of that foot being pulled towards you and hold this position for 15 to 30 seconds. 4.) Return back to the starting position and repeat for as many reps, sets and however long you desire.",https://www.jefit.com/exercises/962/posterior-tibialis-stretch
Bands,band-bench-press,"Band Bench Press Chest / Bands Steps : 1.) To begin this exercise; start off with placing a band under the leg of the bench where your head will be resting. 2.) Following this placement, lie down flat on a flat bench and push your arms forward so that you have the handles in front of you at your shoulder width. 3.) Then bring the handles down as if you are doing a normal barbell bench press. 4.) Right before you are about to touch your chest, squeeze your pectorals and hold the position for a few seconds and return back to the starting position. 5.) Repeat this exercise for as many repetitions as needed.",https://www.jefit.com/exercises/370/band-bench-press
Bands,band-hamstring-stretch,"Band Hamstring Stretch Upper Legs / Bands Steps : 1.) Start by laying with your back flat on the ground with one leg extended above you and the other kept straight and flat on the floor. 2.) Take either a belt, rope or exercise band and loop it around the ball of your foot, then pull on the belt to put tension on your calves and hamstrings. 3.) Hold this position for 15 to 30 seconds then return to the start. 4.) Repeat for as many reps and however long you desire.",https://www.jefit.com/exercises/899/band-hamstring-stretch
Bands,standing-hamstring-and-calf-stretch,"Standing Hamstring and Calf Stretch Upper Legs / Bands Steps : 1.) Begin by taking either a band, rope or belt and wrapping it around one of your feet and place it forward. 2.) Bend your back leg while keeping the front one straight and raise your front toes up off of the floor. 3.) Lean forward with your upper body and then pull on the rope attached to your front foot to increase the stretch in your calf. 4.) Hold this position for 15 to 30 seconds then return back to the starting position. 5.) Repeat with the other foot and repeat this stretch for as many reps, sets and however long you desire.",https://www.jefit.com/exercises/949/standing-hamstring-and-calf-stretch
Bands,band-calf-raise,"Band Calf Raise Lower Legs / Bands The band calf raise exercise uses a band to create resistance in the calf muscle Steps : 1.) Start by standing up straight with your toes on an exercise band and raise the handles up to your shoulders. 2.) Raise up on your toes, keeping your hands up by your shoulders, feeling a stretch in your calf muscles. 3.) Pause for a moment and then lower your heel to the floor. 4.) Repeat for as many reps and sets as desired.",https://www.jefit.com/exercises/287/band-calf-raise
Bands,band-seated-calf-stretch,"Band Seated Calf Stretch Lower Legs / Bands Steps : 1.) Start by sitting up straight with your legs extended out in front of you. 2.) Slowly bend one knee back toward you and placing your foot on the floor to stabilize your body. 3.) With the other leg keep it extended and flex your ankle so that the toes are pointed in towards your body. 4.) Either using an exercise band, towel, belt or even your own hand pull your toes towards you until you feel a stretch in your calves and hold this position for 15 to 30 seconds. 5.) Return to the starting position and repeat for as many reps, sets and duration as desired.",https://www.jefit.com/exercises/963/band-seated-calf-stretch
Bands,band-quad-stretch,"Band Quad Stretch Upper Legs / Bands Steps : 1.) Start by sitting on the ground and looping a band, rope or belt around one foot. 2.) Twist your body over to your stomach and lay flat face down on the floor and flex the knee with the band wrapped around it, keeping the other fully extended behind you. 3.) By pulling on the band, your hip and knee should come up off of the floor creating tension in your quads and hip flexors. 4.) Hold this stretch for 15 to 30 seconds and return to the starting position. 5.) Repeat for as many reps, sets and however long you desire.",https://www.jefit.com/exercises/905/band-quad-stretch
Bands,band-calf-raise,"Band Calf Raise Lower Legs / Bands Steps : 1.) To begin this exercise; start off with taking an exercise and standing on it with equal amount of band on both sides. 2.) Taking the handles of the bands, elevate your arms towards the side of your head so that the bands tighten up. 3.) Then while leaving your hands by your head, stand on your toes and squeeze tightly on your calves. 4.) After holding on for a few seconds, release and go back to the starting position with your hands still by your head. 5.) Repeat this exercise for as many repetitions as needed.",https://www.jefit.com/exercises/394/band-calf-raise
Bench,bench-dip,"Bench Dip Triceps / Bench The bench dip exercise is one of the most basic and best workouts for building the triceps and bigger arms. Steps : 1.) Start by placing two benches parallel to each other 3-4 feet apart. 2.) Sit on one bench and place your feet on the edge of the other bench so that your legs are suspended between the two. 3.) Cross your feet for support, holding onto the bench with your hands for support and slowly lower body towards the floor by bending your elbows. 4.) Pause, hold for a count and then return to starting position. 5.) Repeat for as many reps and sets as desired.",https://www.jefit.com/exercises/229/bench-dip
Bench,bench-weighted-decline-crunch,"Bench Weighted Decline Crunch Abs / Bench Steps : 1.) Begin by laying back on a decline bench with a weight plate crossed between your arms over your chest and placing your feet securely in the foot rests. 2.) Then slowly curl your body up, making sure to squeeze in through your abdominals and hold for a few seconds at the top. 3.) Return back to the starting position and repeat for as many reps and sets as desired.",https://www.jefit.com/exercises/675/bench-weighted-decline-crunch
Bench,seated-leg-tuck,"Seated Leg Tuck Abs / Bench Steps : 1.) Start off with your body sitting in the middle of a flat bench with your legs stretch out in front of you. 2.) Keep the upper half of your body leaning back. 3.) Take your knees and curl them up towards you as you bring your chest close to your knees. 4.) Exhale as you perform this motion. 5.) Tighten your abs and squeeze for a few seconds, then return back to the starting position as you inhale. 6.) Repeat this exercise for as many repetitions as needed.",https://www.jefit.com/exercises/343/seated-leg-tuck
Bench,elevated-push-up,"Elevated Push-Up Chest / Bench Steps : 1.) Start in a push-up position with a flat bench positioned behind your feet. 2.) Elevate your feet and place them either in the middle of the bench or at the edge of it (depending on the position of the bench) so that your body is elevated off of the floor. 3.) Slowly lower yourself down towards the ground until your chest almost touches the floor and you feel tension in your muscles. 4.) Hold this position for a second then return back to the starting position, pushing up with your pecs and squeezing your chest on the way up. 5.) Repeat for as many reps and sets as desired.",https://www.jefit.com/exercises/859/elevated-push-up
Bench,bench-push-up,"Bench Push-Up Chest / Bench Steps : 1.) Start by setting up a bench horizontally getting yourself in a push-up position so that your arms are extended, in a shoulder-width position on the floor with your feet extended behind you with toes on the bench. 2.) Slowly lower your body down towards the bench so that your chest is almost touching then hold for a count. 3.) Return back to the starting position. 4.) Repeat for as many reps and sets as desired.",https://www.jefit.com/exercises/1055/bench-push-up
Bench,bench-crunch,"Bench Crunch Abs / Bench The crunches with legs on a bench is one of the most common abdominal exercises that isolates the ab muscles. Steps : 1.) Lie on your back with your feet up on a bench, keeping your knees bent at a 90-degree angle, placing your hands across your chest or on either side of your head. 2.) Raise your head, shoulders and chest off the floor moving towards your knees, as you flex your spine. 3.) Hold the position for a moment and then lower to the starting position. 4.) Repeat for as many reps and sets as desired.",https://www.jefit.com/exercises/302/bench-crunch
Bench,bench-leg-raise-supine,Bench Leg Raise (Supine) Abs / Bench Steps : 1.) Begin in a supine (on your back) position on a flat bench. 2.) Raise your legs up in the air while keeping them together. 3.) Extend them till they are straight up in the air pointing towards the ceiling. 4.) Slowly bring back your legs to a flat position. 5.) Repeat for the desired amount of reps.,https://www.jefit.com/exercises/73/bench-leg-raise-supine
Bench,bench-hip-thrust,"Bench Hip Thrust Glutes / Bench Steps : 1.) Begin by laying with your back on a flat bench with your feet hanging off one end and grabbing the bench above your head. 2.) Keep your feet and knees together and then slowly bring them up towards the ceiling keeping them pointed straight up. 3.) While your legs are pointed straight up, thrusts your hips up off of the bench then slowly low back down to the bench. 4.) Repeat for as many reps and sets as desired.",https://www.jefit.com/exercises/980/bench-hip-thrust
Bench,reverse-hyper-flat-bench,"Reverse Hyper (Flat Bench) Glutes / Bench Steps : 1.) Begin by laying face down in a prone position on a bench with your toes touching the floor and legs extended out straight behind you. 2.) Once in position, pull your legs up towards the ceiling until you feel tension in your glutes. 3.) Hold for a two count before bringing your legs back down to the starting position. 4.) Repeat for as many reps and sets as desired.",https://www.jefit.com/exercises/733/reverse-hyper-flat-bench
Bench,decline-bench-leg-raise,"Decline Bench Leg Raise Abs / Bench Steps : 1.) Start by laying with your back flat on a decline bench, head rested upon the highest end and holding onto the pads above your head to stabilize your body. 2.) Keeping your feet and knees together, point your legs straight out in front of you in a plank position, then slowly pull both legs up towards the ceiling as high as possible until you feel a stretch in your abs. 3.) Then return your legs back to the starting position. 4.) Repeat for as many reps and sets as desired.",https://www.jefit.com/exercises/973/decline-bench-leg-raise
Bench,bodyweight-step-up,"Bodyweight Step-Up Upper Legs / Bench Steps : 1.) Start by setting up a horizontal bench in front of you, standing up straight with your feet in a shoulder width position and arms at your sides. 2.) Lift your left foot and step up onto the platform. 3.) Then once your foot is firmly on the platform, raise up your right foot and follow up onto the platform so that you are standing up on the platform. 4.) Return back to the starting position. 5.) Repeat for as many reps and sets as desired.",https://www.jefit.com/exercises/1225/bodyweight-step-up
Bench,donkey-calf-raise,Donkey Calf Raise Lower Legs / Bench This is and old school gym exercise which requires the assistance of another person. This is an advanced exercise and not recommended for beginners. The donkey calf raise exercise is an old school gym exercise that requires (at times) the assistance of another person and is an advanced exercise that targets the calf muscle. Steps : 1.) Start by bending at your waist and lean your arms against a weight rack or bench that is waist height. 2.) Have a partner sit on top of your lower back or place a weight plate on your back for resistance. 3.) Raise up on your toes leaning slightly forward until you feel a stretch in your calve muscles. 4.) Pause at the top and then lower your heels to the floor. 5.) Repeat for as many reps and sets as desired.,https://www.jefit.com/exercises/300/donkey-calf-raise
Bench,dragon-flag,"Dragon Flag Abs / Bench Steps : 1.) Start by laying on a decline or flat bench and grabbing the end of it behind your head with both hands. 2.) Squeeze and create tension throughout your body so that you are able to feel your muscles and abdominals tighten 3.) Then from the starting position swing your feet upward so that your body is almost vertical or completely vertical. 4.) Keep your abdominals tight and your entire body as straight as possible as you are pointed up in the air. 5.) Hold this position for as long as possible, squeezing your muscles and abs as much as you can. 6.) Once you complete your rep, slowly lower your feet towards the floor in a controlled manner. 7.) Repeat for as many reps and sets as desired.",https://www.jefit.com/exercises/1314/dragon-flag
Bench,weighted-bench-dip,"Weighted Bench Dip Triceps / Bench Steps : 1.) Sit on inside of one of two benches placed parallel, slightly less than leg's length away. 2.) Place hands on edge of bench. Straighten arms, slide rear end off of edge of bench and position heels on adjacent bench with legs straight. 3.) Perform a dip lowering your self while inhaling. 4.) Lift your self back up and exhale at same time. 5.) Repeat for the desired amount of reps.",https://www.jefit.com/exercises/156/weighted-bench-dip
Bench,bench-leg-pull-in,Bench Leg Pull-In Abs / Bench Steps : 1.) Begin by lying flat on a bench. 2.) Bring your knees up to your chest while keeping your legs together. 3.) Extend your legs back down on the bench. 4.) Repeat for the desired amount of reps.,https://www.jefit.com/exercises/68/bench-leg-pull-in
Bench,decline-bench-rotational-sit-up,Decline Bench Rotational Sit-Up Abs / Bench Steps : 1.) Start off laying with your back flat on a decline bench with your hands above your chest and placing your feet underneath the resting pads. 2.) Slowly pull your body up and bring your right arm forward and across to your left knee until you feel a stretch in your abs. 3.) Hold this position for a count then return to the starting position. 4.) Repeat for as many reps and sets as desired.,https://www.jefit.com/exercises/999/decline-bench-rotational-sit-up
Bench,seated-bench-leg-pull-in,"Seated Bench Leg Pull-In Abs / Bench Steps : 1.) Start off with your body sitting at the end of a flat bench and your legs stretched out in front of you. 2.) Keep the upper half of your body leaning back. 3.) Take your knees and curl up, pulling your thighs toward your chest as you exhale. 4.) Once your knees have hit the chest level, squeeze your abs and hold for a few seconds. 5.) Release your contraction and return back to the starting position inhaling down. 6.) Repeat this exercise for as many repetitions as needed.",https://www.jefit.com/exercises/342/seated-bench-leg-pull-in
Bench,decline-bench-ab-reach,"Decline Bench Ab Reach Abs / Bench Steps : 1.) Start by sitting on a decline bench with your head at the lowest end, then place both of your hands together and point straight up towards the ceiling. 2.) Slowly, while keeping your hands together, reach straight up towards the ceiling as much as possible, lifting your back and shoulder blades up off the bench. 3.) Lower your body until you feel a stretch in your abs then return back to the starting position. 4.) Repeat for as many reps and sets as desired.",https://www.jefit.com/exercises/969/decline-bench-ab-reach
